Image ID,Observation Date,MJD,Filter,Detection ID,Distance [arcsec],RA [deg],DEC [deg],Mag_Opt,Magerr_Opt,Flux [μJy],Fluxerr [μJy],Zero-point stdev
14973,2017-10-21 17:52:00,58047.74444444444,q,928768245,0.7038857929369935,266.67054388056005,-32.234072730448965,15.690404891967773,0.005659832619130611,1922.490234375,10.021745956585617,0.02107397038862268
15005,2017-10-21 17:53:10,58047.74525462963,r,933357693,0.544606265442248,266.67058639215804,-32.234075705012685,15.416370391845703,0.0070202830247581005,2474.446044921875,15.999569242519646,0.03185688282887464
15033,2017-10-21 17:54:20,58047.74606481481,z,934156002,0.5468870207368999,266.6705737551415,-32.23405599924301,12.100578308105469,0.002309218980371952,52455.9609375,111.56696777432464,0.05264305861679365
14952,2017-10-21 17:56:40,58047.74768518518,i,924087057,0.3219757516072893,266.67058980398707,-32.23406865251461,13.17945671081543,0.0024096043780446053,19419.73828125,43.09876205696513,0.02814669752831144
14948,2017-10-21 17:57:50,58047.74849537037,g,923847996,0.0,266.67056029984593,-32.23405803422213,16.915983200073242,0.014444380067288876,621.7747192382812,8.27194522734813,0.02993579185796121
14974,2017-10-21 17:59:00,58047.74930555555,q,928889454,0.6445924967095509,266.67055624777174,-32.23407580435137,15.697681427001953,0.004750302992761135,1909.648681640625,8.355077097181127,0.02668068005058769
14975,2017-10-21 18:00:10,58047.75011574074,q,929034696,0.6483637950747968,266.67055309111976,-32.234089299175125,15.697452545166016,0.006924767047166824,1910.0513916015625,12.182204549247086,0.02479081152938531
14976,2017-10-21 18:00:50,58047.7505787037,q,929157649,0.6707262706701576,266.6705205549723,-32.23404531445241,15.65571117401123,0.006801626179367304,1984.9154052734375,12.434560240477659,0.02760184394647038
14977,2017-10-21 18:01:30,58047.75104166667,q,929278570,0.8170321931710579,266.6704699020791,-32.234070975114754,15.686299324035645,0.007002025842666626,1929.7735595703125,12.445310452160488,0.03022087816119223
14978,2017-10-21 18:02:10,58047.75150462963,q,929399694,0.3388580821420426,266.67061959236224,-32.2340557054567,15.699400901794434,0.006958486512303352,1906.627685546875,12.219581839962851,0.0298186143323092
14979,2017-10-21 18:02:50,58047.75196759259,q,929517489,0.5723878972889309,266.6705316926423,-32.23399420186673,15.673480033874512,0.006907227449119091,1952.6943359375,12.42263407409946,0.03893411717420141
15010,2019-06-02 21:16:50.504000,58636.8866956532,u,933888533,0.25895385843543545,266.67071533250066,-32.23407939217791,18.700231552124023,0.12390390038490295,120.20809936523438,13.718113215398494,0.08127048943558474
14949,2019-06-02 21:18:29.969000,58636.88784685807,g,923892714,0.5679251177885254,266.6707451742897,-32.234037243087165,16.845720291137695,0.012173175811767578,663.34326171875,7.437344537397922,0.03480074973088961
14980,2019-06-02 21:20:09.508000,58636.8889989368,q,929631285,0.13739234916611914,266.6707558082829,-32.23402465054786,15.686264038085938,0.004488444421440363,1929.837158203125,7.977966044939359,0.02090749113599537
15006,2019-06-02 21:21:43.573000,58636.89008764677,r,933475784,0.09154720586524692,266.6707302668949,-32.23403310768349,15.401639938354492,0.006354744546115398,2508.246826171875,14.680608586497073,0.02277696831699367
14953,2019-06-02 21:23:22.253000,58636.89122978326,i,924340061,0.2190025724272001,266.67073602739094,-32.23402521617409,13.183106422424316,0.002524322597309947,19354.58203125,44.9991492740642,0.01767262078675523
15034,2019-06-02 21:24:58.358000,58636.89234210459,z,934453936,0.06392030499927596,266.6707242753962,-32.23402040282532,12.115269660949707,0.0024400372058153152,51750.9453125,116.30286457878887,0.05072935543868932
15011,2019-06-03 00:58:58.569000,58637.04095565932,u,933900443,0.22369882326010226,266.6708153392303,-32.23400353424999,19.220760345458984,0.176966592669487,74.42559051513672,12.130795186819515,0.08051077996437701
14950,2019-06-03 01:00:38.375000,58637.04211082244,g,923953958,0.24171688593895585,266.67072321762834,-32.23401675221394,16.9306583404541,0.012358764186501503,613.4268188476562,6.982540438332817,0.03286420659174903
14981,2019-06-03 01:02:23.893000,58637.04333209739,q,929803113,0.0550343435000406,266.67072388418217,-32.23402968291503,15.712300300598145,0.004507467616349459,1884.109130859375,7.821937566607879,0.01891246613931493
15007,2019-06-03 01:03:56.602000,58637.04440511261,r,933630892,0.09663758536440828,266.6707193713885,-32.2340278922182,15.428919792175293,0.006366027984768152,2446.010498046875,14.341763161760477,0.02011083561537685
14954,2019-06-03 01:05:35.972000,58637.04555523515,i,924561557,0.1526518231560233,266.67072596709505,-32.23402502829744,13.192298889160156,0.0025302909780293703,19191.41015625,44.725277051502715,0.01567050504247869
15035,2019-06-03 01:07:14.986000,58637.04670123148,z,934684327,0.06343075557863333,266.67073192423584,-32.23402719536262,12.113347053527832,0.002434532390907407,51842.6796875,116.24617356374829,0.04277672206532419
14982,2019-06-07 22:32:58.218000,58641.93956271018,q,929971993,0.09289964149737197,266.6707399166007,-32.23403043472657,15.73057746887207,0.004418326076120138,1852.65771484375,7.53925843309009,0.02019574893490128
63784,2019-06-07 22:39:51.347000,58641.94434429618,q,3338512146,0.02879288962072397,266.6707354729964,-32.23401681626616,15.73607063293457,0.004450760781764984,1843.30810546875,7.556276729315695,0.01674635592731725
63785,2019-07-09 22:27:26.187000,58673.93571976138,q,3338750586,0.11185943092749276,266.67070603089803,-32.23401451030762,15.69829273223877,0.004645457956939936,1908.5755615234375,8.166079013499042,0.02955794084824932
63786,2019-07-16 20:02:24.306000,58680.83500354397,q,3338884691,0.078137151655646,266.67071818289975,-32.2340196846511,15.689652442932129,0.009187426418066025,1923.8245849609375,16.279273029757128,0.09352645366058397
14951,2019-07-29 18:55:02.215000,58693.78822007759,g,924014401,0.16130174919502768,266.67070825228467,-32.23400165132606,16.943626403808594,0.01749984174966812,606.143798828125,9.769795511920004,0.0277352650128947
15008,2019-07-29 18:56:41.125000,58693.78936487804,r,933777199,0.09272945327143518,266.6707141391226,-32.234017759309076,15.435925483703613,0.00752602145075798,2430.278076171875,16.846011406619184,0.02011466898333047
14983,2019-07-29 18:58:08.930000,58693.79038112939,q,930184968,0.01771864030324895,266.67071776328805,-32.23402204684702,15.68600082397461,0.005292700603604317,1930.305419921875,9.40977064037256,0.022331791564225
14984,2019-09-17 18:53:40.127000,58743.78726998572,q,930320509,0.06284161463151045,266.6706945287343,-32.23402380781149,15.693264961242676,0.005198149010539055,1917.4329833984375,9.18004045631983,0.02126507964586669
14955,2019-09-17 18:55:15.722000,58743.78837641387,i,924779039,0.0848100452813154,266.67070826595636,-32.23402150558318,13.174777030944824,0.00321750994771719,19503.630859375,57.79776318358978,0.02149213753663058
15013,2020-03-28 03:41:58.263000,58936.15414656565,u,933924472,0.5466287811270417,266.670699820998,-32.2338651900443,18.996246337890625,0.15744540095329285,91.52250671386719,13.271914008060657,0.086042465368123
14985,2020-03-28 03:44:03.358000,58936.1555944188,q,930469022,0.2693204964415853,266.67080021434634,-32.23400341173268,15.720932960510254,0.004954592324793339,1869.189208984375,8.529761058063931,0.02148473579895359
14956,2020-03-28 03:46:09.283000,58936.15705188432,i,924965002,0.38330667528498613,266.6708045204801,-32.23399334168184,13.19448184967041,0.00263963988982141,19152.845703125,46.5643626006311,0.02946461541408737
14986,2020-03-28 03:50:17.347000,58936.15992299537,q,930651655,0.2938300293593161,266.6708100005079,-32.233999925540196,15.723516464233398,0.005464860703796148,1864.7449951171875,9.385863446564471,0.02616654568664331
14987,2020-04-13 01:26:58.688000,58952.0604014852,q,930788509,0.3098078799318094,266.67081819032234,-32.23400082845492,15.678507804870605,0.0077363490127027035,1943.671875,13.849518162853872,0.02296606450030773
14988,2020-04-29 00:26:20.128000,58968.01828852161,q,930891147,0.29878735504805903,266.67081575156084,-32.23399574375107,15.731474876403809,0.004892724100500345,1851.126708984375,8.34185309445,0.0296612971059103
14957,2020-04-29 00:28:25.154000,58968.01973557423,i,925231364,0.3606582981848032,266.67081350700084,-32.23399841080055,13.202369689941406,0.002653703326359391,19014.22265625,46.473630034133876,0.01679878640392635
14989,2020-04-30 23:45:31.957000,58969.98995320783,q,931129522,0.3339416518125158,266.6708206346016,-32.23397387502633,15.702286720275879,0.005479892250150442,1901.5662841796875,9.5975231801592,0.02035408182773133
14958,2020-04-30 23:47:36.978000,58969.99140021059,i,925586912,0.32307154589900866,266.6708088507402,-32.23398890220351,13.180500984191895,0.002984017599374056,19401.0703125,53.32154706546769,0.01656914234034094
14990,2020-05-14 22:55:49.349000,58983.95543228187,q,931300090,0.2962255401581378,266.67082009963315,-32.23399571543385,15.717740058898926,0.005014460533857346,1874.6932373046875,8.65824967015203,0.02854516332287751
14959,2020-05-14 22:57:55.350000,58983.9568906198,i,925771212,0.2781140125665609,266.67080304517646,-32.23398854400001,13.191187858581543,0.0026619902346283197,19211.05859375,47.101356871083965,0.01966860910964401
14991,2020-05-16 22:48:08.586000,58985.95009937533,q,931478128,0.273617030229244,266.67081461754594,-32.23399506226073,15.709602355957031,0.0048505510203540325,1888.7962646484375,8.438239753497951,0.02108117560269278
14960,2020-05-16 22:50:13.612000,58985.95154643476,i,926008180,0.2607766334723311,266.670809490331,-32.233998425798966,13.186903953552246,0.0026228635106235743,19286.99609375,46.59249437306107,0.02237946988098831
14992,2020-05-23 22:14:36.436000,58992.9268106005,q,931659141,0.2784293407273485,266.67081952130997,-32.23399905010402,15.716397285461426,0.004829283803701401,1877.0123291015625,8.348828284351313,0.02187767534638242
14961,2020-05-23 22:16:42.466000,58992.92826928695,i,926262891,0.22508998829134103,266.67080347547716,-32.23399673341392,13.190801620483398,0.0026589613407850266,19217.89453125,47.064504626264856,0.01690977803895825
14993,2020-05-30 21:54:14.127000,58999.91266350378,q,931868734,0.30000023418021066,266.6708252205115,-32.23398734762629,15.720927238464355,0.0051084281876683235,1869.197509765625,8.79464170314153,0.02589806356387998
14962,2020-05-30 21:56:20.122000,58999.91412177843,i,926509001,0.20086808912119508,266.67080115715777,-32.23399799634888,13.189188003540039,0.00264616496860981,19246.46484375,46.9076368111783,0.01979081188935274
14994,2020-06-01 21:38:50.068000,59001.90196837696,q,932045653,0.27220758981479243,266.6708218758767,-32.23399950324762,15.702951431274414,0.006904630921781063,1900.4036865234375,12.085427152890498,0.04280647327992968
14963,2020-06-01 21:40:57.083000,59001.90343846509,i,926754838,0.24843568858946086,266.67081199139903,-32.23397795083304,13.247068405151367,0.0050683217123150826,18247.3203125,85.18025202192698,0.07442989964451646
14995,2020-06-04 21:40:40.202000,59004.90324307863,q,932183390,0.27160728632823394,266.6708207132238,-32.23398983531769,15.75335693359375,0.012609973549842834,1814.1922607421875,21.070418622184228,0.04345995490017149
14964,2020-06-04 21:42:44.211000,59004.90467836868,i,926877699,0.13116029161495782,266.67078965079014,-32.23400668949012,13.183761596679688,0.0033806227147579193,19342.896484375,60.227370609338244,0.02753161039403665
14996,2020-06-04 21:46:49.270000,59004.90751470064,q,932254357,0.27081375185926176,266.6708239348751,-32.23399422141666,15.685128211975098,0.012576950713992119,1931.857421875,22.37824834596651,0.04079797028010767
14965,2020-06-04 21:48:57.271000,59004.90899619494,i,927043200,0.13430621481204244,266.67079226340064,-32.234002464133525,13.203725814819336,0.0034040561877191067,18990.478515625,59.539929978491294,0.02533663252868909
14997,2020-06-04 21:53:09.331000,59004.91191355219,q,932310721,0.21589397240365285,266.67080977898195,-32.2340040844199,15.726357460021973,0.011013823561370373,1859.87255859375,18.86674517260276,0.03047900065780687
14966,2020-06-04 21:55:15.311000,59004.91337165498,i,927227741,0.15700839094431093,266.6707988449355,-32.23399319397006,13.21455192565918,0.003373363520950079,18802.0546875,58.417654242307705,0.02317014572920592
14998,2020-06-19 20:44:37.543000,59019.86432341814,q,932387066,0.22218530908112635,266.670812268778,-32.23399905443753,15.723858833312988,0.004952101968228817,1864.1575927734375,8.502524375594401,0.02887704698361756
14967,2020-06-19 20:46:37.567000,59019.86571258181,i,927422210,0.12449866112717133,266.67079207425314,-32.23399690058193,13.204998970031738,0.0027446839958429337,18968.224609375,47.95067297750404,0.01884853025720688
15028,2020-07-19 19:16:38.548000,59049.80322392946,u,934077580,0.4889349430853415,266.67088136990486,-32.234079109822126,19.0137882232666,0.18613852560520172,90.05561065673828,15.439126736823585,0.0808893507037227
14999,2020-07-19 19:18:44.536000,59049.80468213432,q,932594734,0.2879092628784813,266.67082635627634,-32.23397524060035,15.73372745513916,0.005281652789562941,1847.2911376953125,8.986299196176224,0.01963795355998651
14968,2020-07-19 19:20:49.541000,59049.80612895015,i,927703906,0.12339101020340038,266.6707857195749,-32.233986117847145,13.201394081115723,0.0027153349947184324,19031.306640625,47.595697479662874,0.02304903359951206
63783,2020-07-28 19:01:00.862000,59058.79237109111,i,3338241709,0.15943343943886257,266.67077695947387,-32.233979055578416,13.195136070251465,0.002737008733674884,19141.326171875,48.25294876916116,0.02399849720359601
63787,2020-07-28 19:03:09.852000,59058.79386402945,q,3339044110,0.17889315664669866,266.67078516021246,-32.23397843391588,15.71385383605957,0.005585176404565573,1881.4154052734375,9.678259677409791,0.02967891795181758
15000,2020-08-08 18:46:31.205000,59069.7823056151,q,932731292,0.21121968233630273,266.67080161796036,-32.23397858988155,15.713828086853027,0.00578757468611002,1881.4610595703125,10.0292282074024,0.02253545135128674
14969,2020-08-08 18:48:32.244000,59069.78370652685,i,927979894,0.14881214247455507,266.6707885315303,-32.23397649165765,13.188156127929688,0.0029772156849503517,19264.7734375,52.826260250976716,0.01833215855645268
15002,2020-08-14 18:45:32.303000,59075.78162387377,q,932850930,0.1524551330723943,266.6707878086555,-32.23398850835096,15.715709686279297,0.005372929386794567,1878.2020263671875,9.294565855022125,0.02043259890490872
14971,2020-08-14 18:47:40.258000,59075.78310483346,i,928192686,0.09660721072298335,266.6707801844192,-32.23398705317401,13.191143989562988,0.00277022086083889,19211.818359375,49.01833166238667,0.02672725430419273
15003,2020-08-22 18:41:46.974000,59083.7790159013,q,932976800,0.1591886777382569,266.6707857356889,-32.2339815859934,15.723321914672852,0.005122953560203314,1865.080810546875,8.800224597606563,0.02121730130953821
14972,2020-08-22 18:46:01.008000,59083.78195611636,i,928455374,0.09183328614704162,266.67078228486105,-32.23398903079543,13.195518493652344,0.002761235460639,19134.580078125,48.662907318126436,0.01542847949596495
15004,2020-08-23 18:54:39.811000,59084.78796077038,q,933163340,0.1002151410090569,266.6707699687644,-32.233990071244214,15.687878608703613,0.00568806380033493,1926.97021484375,10.095205030378201,0.03675582678514325
